custo,seed,hor_m,desc_m,prof_efetiva,pop_fim
0,1,8.2386,0.7006,3.3396,224.3267
0,2,9.7394,0.6889,3.2146,269.3867
0,3,3.2189,0.9327,3.2189,324.6333
0,4,6.0889,0.7388,3.8288,246.8267
0,5,7.3651,0.7074,3.4180,296.6500
0,6,9.8538,0.6742,3.0694,327.0133
0,7,8.7345,0.6739,3.0668,317.0300
0,8,9.1000,0.7004,3.3384,269.0367
0.01,1,8.0056,0.6334,2.7275,203.9167
0.01,2,2.9602,0.9486,2.9602,246.5033
0.01,3,5.1782,0.6147,2.5956,298.3433
0.01,4,8.7439,0.6274,2.6842,224.6533
0.01,5,2.7963,0.8572,2.7963,272.5033
0.01,6,10.7018,0.6288,2.6940,300.7267
0.01,7,4.1182,0.8333,4.1182,291.8333
0.01,8,11.5064,0.6346,2.7370,247.7000
0.02,1,7.8863,0.5569,2.2566,193.7333
0.02,2,2.5766,0.9488,2.5766,231.2600
0.02,3,2.0686,0.8928,2.0686,286.8100
0.02,4,2.3186,0.9381,2.3186,213.4367
0.02,5,2.2307,0.9530,2.2307,260.3633
0.02,6,2.4112,0.9058,2.4112,283.5733
0.02,7,5.9366,0.7682,4.3150,277.5367
0.02,8,7.3563,0.5896,2.4365,231.7700
0.04,1,1.7784,0.9452,1.7784,181.2200
0.04,2,2.1044,0.9512,2.1044,210.8533
0.04,3,1.3590,0.8867,1.3590,277.4900
0.04,4,1.8694,0.9505,1.8694,198.1667
0.04,5,1.8842,0.9511,1.8842,239.3200
0.04,6,6.3682,0.4476,1.8102,265.0000
0.04,7,11.0143,0.4081,1.6896,260.8933
0.04,8,2.0421,0.9488,2.0421,212.8433
0.08,1,2.7023,0.5587,2.2671,169.1300
0.08,2,1.3893,0.9164,1.3893,197.9167
0.08,3,1.0463,0.8881,1.0463,256.3233
0.08,4,1.1898,0.8893,1.1898,188.5367
0.08,5,1.0846,0.8533,1.0846,233.6067
0.08,6,1.1316,0.8357,1.1316,254.3533
0.08,7,1.0678,0.9175,1.0678,248.7833
0.08,8,1.3952,0.9153,1.3952,197.1767
0.15,1,1.0691,0.6483,1.0691,143.5267
0.15,2,1.0287,0.7615,1.0287,178.2900
0.15,3,1.0148,0.7581,1.0148,213.7033
0.15,4,1.0296,0.6396,1.0296,160.7100
0.15,5,1.0574,0.3807,1.0574,195.4400
0.15,6,1.0442,0.6991,1.0442,216.2967
0.15,7,1.0195,0.9158,1.0195,210.0367
0.15,8,1.0363,0.6185,1.0363,177.2433
0.3,1,1.0184,0.5416,1.0184,99.4300
0.3,2,1.0094,0.6876,1.0094,126.8433
0.3,3,1.0092,0.7391,1.0092,152.6400
0.3,4,1.0109,0.9179,1.0109,112.6367
0.3,5,1.0068,0.6338,1.0068,139.6233
0.3,6,1.0221,0.4293,1.0221,156.5233
0.3,7,1.0091,0.8968,1.0091,150.2567
0.3,8,1.0114,0.5268,1.0114,125.9700
